"agegroup","group","ID","participant","active_bool","localizationshift_deg","localizationshift_sd"
"cntrl","60implicit","dy_2511",166,1,1.19888487926997,10.6719709296022
"cntrl","60implicit","aa_1301",167,0,-1.1153732612177,2.93488409884568
"cntrl","60implicit","aa_1301",167,1,-3.5227628214203,3.00119869921641
"cntrl","60implicit","nm_3009",168,0,-3.73288313699948,4.39980663543238
"cntrl","60implicit","nm_3009",168,1,-5.10075544784073,2.40959751783698
"cntrl","60implicit","el_2810",169,0,3.53191306703511,2.63490362350108
"cntrl","60implicit","el_2810",169,1,5.24928821228834,3.81524512943724
"cntrl","60implicit","mc_0410",170,0,-6.04297876193275,3.60562511738887
"cntrl","60implicit","mc_0410",170,1,-8.60850665384024,2.86232271959064
"cntrl","60explicit","as_1309",171,0,-0.0683495601963713,19.0650562691378
"cntrl","60explicit","as_1309",171,1,-5.48764301056473,16.6486577189374
"cntrl","60explicit","ae_2211",172,0,-0.295865592948719,1.74219390177757
"cntrl","60explicit","ae_2211",172,1,-0.767527887613107,3.01396392095136
"cntrl","60explicit","ap_1301",173,0,-0.589297851705103,4.47030562844058
"cntrl","60explicit","ap_1301",173,1,0.157992102643047,3.30015672614255
"cntrl","60explicit","me_0311",174,0,-20.126603057045,4.99743923954767
"cntrl","60explicit","me_0311",174,1,-13.1994686894897,8.32296586424922
"cntrl","60explicit","jl_2601",175,0,-23.2438073651095,18.10872636454
"cntrl","60explicit","jl_2601",175,1,-41.8817871790446,1.70757492423273
"cntrl","60explicit","yp_1901",176,0,-7.12700345187715,9.85012155532468
"cntrl","60explicit","yp_1901",176,1,-14.1287480521299,9.98201603450476
"cntrl","60explicit","dc_1901",177,0,-0.355564451237925,6.75610720553233
"cntrl","60explicit","dc_1901",177,1,2.86988054107138,17.1516494940171
"cntrl","60explicit","op_2811",178,0,-27.447986920253,19.6528499230408
"cntrl","60explicit","op_2811",178,1,-42.0195838070531,5.81644555531823
"cntrl","60explicit","jw_0410",179,0,-4.9569361709489,6.6773298249889
"cntrl","60explicit","jw_0410",179,1,-5.04826992494795,2.9961423654831
"cntrl","60explicit","mn_0610",180,0,-0.083056655545991,6.76835149518942
"cntrl","60explicit","mn_0610",180,1,-3.99297786338539,6.55412305968101
"cntrl","60explicit","ps_1801",181,0,-5.39898837702363,2.16723614215107
"cntrl","60explicit","ps_1801",181,1,-6.48888869697329,3.53971703933864
"cntrl","60explicit","gs_1910",182,0,-4.42347781468317,6.40542608407962
"cntrl","60explicit","gs_1910",182,1,-6.27019268107838,2.93368005601145
"cntrl","60explicit","bs_1710",183,0,-5.58143788054346,3.63360855426197
"cntrl","60explicit","bs_1710",183,1,-4.25619505611062,7.02948772277457
"cntrl","60explicit","gk_2811",184,0,-58.939384714,5.87085724668669
"cntrl","60explicit","gk_2811",184,1,-68.8906440752593,2.05583420555561
"cntrl","60explicit","sm_1805",185,0,-5.83835130254521,6.66514620164294
"cntrl","60explicit","sm_1805",185,1,-6.53919766621212,2.79464597218556
"cntrl","60explicit","jr_2209",186,0,-2.40854925257454,2.88371335541808
"cntrl","60explicit","jr_2209",186,1,-2.94080547231996,1.82602376049009
"cntrl","60explicit","ap_2010",187,0,-5.06545962389803,4.23706285489652
"cntrl","60explicit","ap_2010",187,1,-5.24083886888733,2.55165339280891
"cntrl","60explicit","sm_1909",188,0,-7.67988208364937,4.02843765255321
"cntrl","60explicit","sm_1909",188,1,-7.42788317195585,3.57840901909968
"cntrl","60explicit","bb_1609",189,0,-2.76937604996135,3.94399926935802
