group,ID,trial,targetangle_deg,arcangle_deg,homex_cm,homey_cm,handx_cm,handy_cm,tapx_cm,tapy_cm,block,time_ms,selected,active
aging_implicit,jc_2309,293,141.08,130,0,0,-8.7255,7.0458,-11.460873626922,1.78480022680752,2,2970,1,0
aging_implicit,jc_2309,294,73.609,50,0,0,3.2085,10.908,7.38052637307795,10.0121002268075,2,2959,1,0
aging_implicit,jc_2309,295,112.71,130,0,0,-4.3656,10.434,-4.91057362692205,10.0981002268075,2,3029,1,0
aging_implicit,jc_2309,296,104.14,90,0,0,-2.7244,10.815,-3.07647362692205,11.0441002268075,2,3157,1,0
aging_implicit,jc_2309,297,51.502,50,0,0,6.8974,8.6718,11.834526373078,1.01080022680752,2,3229,1,0
aging_implicit,jc_2309,298,84.125,90,0,0,1.1537,11.213,1.94942637307795,9.78310022680751,2,2989,1,0
aging_implicit,jc_2309,299,108.31,130,0,0,-3.5731,10.8,-3.12407362692205,10.5281002268075,2,2929,1,0
aging_implicit,jc_2309,300,69.151,50,0,0,4.0377,10.602,6.33252637307795,10.6431002268075,2,3097,1,0
aging_implicit,jc_2309,427,114.66,130,0,0,-4.656,10.141,-10.222273626922,9.06610022680752,3,3046,1,0
aging_implicit,jc_2309,428,92.182,90,0,0,-0.4282,11.239,1.49692637307795,11.7031002268075,3,2949,1,0
aging_implicit,jc_2309,429,73.362,50,0,0,3.2169,10.765,5.04552637307795,10.4711002268075,3,3076,1,0
aging_implicit,jc_2309,430,123.09,130,0,0,-6.1247,9.3986,-9.98407362692205,6.05610022680751,3,3072,1,0
aging_implicit,jc_2309,431,99.792,90,0,0,-1.887,10.934,-3.02877362692205,11.7031002268075,3,2889,1,0
aging_implicit,jc_2309,432,73.993,50,0,0,3.0733,10.713,8.80952637307795,8.63610022680751,3,3092,1,0
aging_implicit,jc_2309,433,88.031,90,0,0,0.3809,11.079,5.04552637307795,10.2411002268075,3,2909,1,0
aging_implicit,jc_2309,434,60.342,50,0,0,5.6086,9.8496,11.572526373078,3.18940022680752,3,3080,1,0
aging_implicit,jc_2309,435,132.26,130,0,0,-7.45,8.1998,-10.293773626922,4.76610022680751,3,3178,1,0
aging_implicit,jc_2309,436,134.01,130,0,0,-7.7894,8.0646,-8.45967362692205,6.45710022680752,3,2909,1,0
aging_implicit,jc_2309,437,61.127,50,0,0,5.3496,9.7017,11.834526373078,4.16410022680751,3,2750,1,0
aging_implicit,jc_2309,438,94.016,90,0,0,-0.788,11.223,2.06852637307795,10.7001002268075,3,2850,1,0
aging_implicit,jc_2309,439,129.43,130,0,0,-7.0352,8.5568,-10.412873626922,5.68340022680752,3,2869,1,0
