"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
189,135,-4.2983,-5.1361,-4.2983,-5.1361,528,395,0,-8.5,-8.4853,-0.014719,3,0,660,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.3639,141.952849641719,-6.95284964171859,FALSE,"hd_0310"
208,135,-3.8126,-5.6613,-3.8126,-5.6613,528,395,0,-8.5,-8.4853,-0.014719,3,0,1040,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,2.8387,143.330196199125,-8.33019619912525,FALSE,"hd_0310"
209,90,-0.4805,-2.0915,-0.4805,-2.0915,528,395,0,-8.5,0,3.5,3,0,881,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,6.4085,94.2879308718651,-4.28793087186507,FALSE,"hd_0310"
210,45,3.4278,-5.0314,3.4278,-5.0314,528,395,0,-8.5,8.4853,-0.014719,3,0,740,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.4686,45.3389653342978,-0.338965334297754,FALSE,"hd_0310"
211,135,-4.8304,-4.2699,-4.8304,-4.2699,528,395,0,-8.5,-8.4853,-0.014719,3,0,1020,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,4.2301,138.790570217904,-3.79057021790402,FALSE,"hd_0310"
212,45,3.369,-4.8301,3.369,-4.8301,528,395,0,-8.5,8.4853,-0.014719,3,0,720,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,3.6699,47.447798645437,-2.44779864543698,FALSE,"hd_0310"
213,90,-0.0168,-3.4325,-0.0168,-3.4325,528,395,0,-8.5,0,3.5,3,0,881,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,5.0675,90.1899488050046,-0.189948805004576,FALSE,"hd_0310"
214,135,-4.3281,-5.3821,-4.3281,-5.3821,528,395,0,-8.5,-8.4853,-0.014719,3,0,821,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,135.000064147469,3.1179,144.2315730327,-9.23157303269957,FALSE,"hd_0310"
215,90,-0.3841,-3.8266,-0.3841,-3.8266,528,395,0,-8.5,0,3.5,3,0,861,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.6734,94.6984970174926,-4.69849701749257,FALSE,"hd_0310"
216,45,2.4764,-5.704,2.4764,-5.704,528,395,0,-8.5,8.4853,-0.014719,3,0,220,1,1,0,1,0,"hd_0310","align_explicit_train_selected",8.485281,44.9999358525315,2.796,48.4688854612246,-3.46888546122457,FALSE,"hd_0310"
235,90,0.5406,-3.669,0.5406,-3.669,528,395,0,-8.5,0,3.5,3,0,1301,1,1,0,1,0,"hd_0310","align_explicit_train_selected",12,90,4.831,83.6150333262391,6.38496667376087,FALSE,"hd_0310"
