group,version,participant,age,corrected_vision,sex,right_handed,height_cm,awareness
aging_explicit,ei,js_2806,80,Y,M,Y,176,1
aging_explicit,ie,bd_0707,62,N,M,Y,183,1
aging_explicit,ei,mn_1307,72,Y,F,Y,195,0
aging_explicit,ie,nb_1807,72,Y,F,Y,161,1
aging_explicit,ei,cp_2509,67,Y,M,Y,175,3
aging_explicit,ie,mm_0510,75,Y,F,Y,160,3
aging_explicit,ei,ck_1010,54,Y,F,Y,156,0
aging_explicit,ie,cp_0412,73,Y,F,Y,163,
aging_implicit,ei,jf_0804,78,Y,M,y,176,1
aging_implicit,ie,bh_0608,69,Y,M,Y,178,0
aging_implicit,ei,ao_1608,66,Y,F,Y,167,1
aging_implicit,ie,tf_0831,70,Y,M,Y,163,0
aging_implicit,ei,ia_0109,67,Y,F,Y,176,0
aging_implicit,ie,bo_1309,80,N,M,Y,184,0
aging_implicit,ei,jc_2309,68,Y,F,Y,160,1
aging_implicit,ie,mw_2510,71,Y,M,Y,161,1
aging_implicit,ei,af_0111,64,Y,M,Y,159,0
aging_implicit,ie,bz_0427,71,Y,F,Y,157,1
aging_implicit,ei,bj_0424,84,Y,M,Y,171,1
aging_implicit,ei,bb_2906,71,Y,M,Y,176,0
aging_implicit,ie,ch_3006,79,Y,M,Y,171,1
aging_implicit,ei,co_0407,67,Y,F,Y,168,1
aging_implicit,ie,rc_1608,76,N ,F,Y ,149,1
aging_implicit,ei,jd_1007,64,Y,M,Y,175,0
aging_implicit,ie,cb_2909,64,Y,M,Y,168,1
aging_implicit,ei,hd_0310,71,Y,M,Y,167,0
aging_implicit,ie,fe_1710,54,Y,M,Y,195,0
60implicit_b,ie,ss_1005,23,Y,F,Y,168,1
60implicit_b,ei,yl_1005,22,N,F,Y,171,3
60implicit_b,ie,sh_1005,31,N,F,Y,163,3
60implicit_b,ei,lf_1105,31,N,F,Y,160,0
60implicit_b,ie,ad_0206,22,N,M,Y,179,1
60implicit_b,ei,id_1105,22,N,F,Y,161,1
