"trial","target","Xcursor","Ycursor","Xrobot","Yrobot","XscreenO","YscreenO","Xhome","Yhome","XTarget","Ytarget","blocknumber","rotation","time","trialselected","sampleselected","sampleinterpolated","maxvelocity","unsure","participant","task","new_targety","new_target_angle","relative_cursory","pv_angle_OG","pv_angle","isoutlier","subject"
111,135,-4.116,-4.6506,-4.116,-4.6506,528,395,0,-8.5,-8.4853,-0.014719,2,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.8494,136.916960205146,-1.91696020514638,FALSE,"br_3249"
112,90,-0.8383,-2.9588,-0.8383,-2.9588,528,395,0,-8.5,0,3.5,2,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.5412,98.6027524980293,-8.6027524980293,FALSE,"br_3249"
113,45,4.5947,-4.0213,4.5947,-4.0213,528,395,0,-8.5,8.4853,-0.014719,2,0,501,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.4787,44.2675349534427,0.73246504655728,FALSE,"br_3249"
114,135,-4.0595,-4.5968,-4.0595,-4.5968,528,395,0,-8.5,-8.4853,-0.014719,2,0,281,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.9032,136.124515609712,-1.12451560971152,FALSE,"br_3249"
115,90,0.0996,-2.6101,0.0996,-2.6101,528,395,0,-8.5,0,3.5,2,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.8899,89.0312032840812,0.968796715918799,FALSE,"br_3249"
116,135,-4.5041,-4.5066,-4.5041,-4.5066,528,395,0,-8.5,-8.4853,-0.014719,2,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.9934,138.439341033359,-3.43934103335923,FALSE,"br_3249"
117,45,4.1306,-4.6611,4.1306,-4.6611,528,395,0,-8.5,8.4853,-0.014719,2,0,601,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.8389,42.9037930516427,2.09620694835731,FALSE,"br_3249"
136,45,3.8241,-4.9202,3.8241,-4.9202,528,395,0,-8.5,8.4853,-0.014719,2,0,761,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.5798,43.1101470301891,1.8898529698109,FALSE,"br_3249"
137,135,-4.5086,-4.5378,-4.5086,-4.5378,528,395,0,-8.5,-8.4853,-0.014719,2,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.9622,138.690690669362,-3.69069066936228,FALSE,"br_3249"
138,90,-0.0058,-2.6574,-0.0058,-2.6574,528,395,0,-8.5,0,3.5,2,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.8426,90.056878001577,-0.0568780015769619,FALSE,"br_3249"
139,90,-0.8102,-2.1808,-0.8102,-2.1808,528,395,0,-8.5,0,3.5,2,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.3192,97.3061712398396,-7.30617123983963,FALSE,"br_3249"
140,45,4.5247,-3.3411,4.5247,-3.3411,528,395,0,-8.5,8.4853,-0.014719,2,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,5.1589,48.7470738326369,-3.74707383263691,FALSE,"br_3249"
141,135,-3.9711,-4.9772,-3.9711,-4.9772,528,395,0,-8.5,-8.4853,-0.014719,2,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.5228,138.423467535438,-3.42346753543816,FALSE,"br_3249"
142,135,-3.7624,-5.2092,-3.7624,-5.2092,528,395,0,-8.5,-8.4853,-0.014719,2,0,301,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.2908,138.825289256841,-3.82528925684068,FALSE,"br_3249"
143,45,3.6129,-4.6557,3.6129,-4.6557,528,395,0,-8.5,8.4853,-0.014719,2,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.8443,46.7773414205471,-1.77734142054706,FALSE,"br_3249"
144,90,-0.7039,-2.9927,-0.7039,-2.9927,528,395,0,-8.5,0,3.5,2,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.5073,97.2836080421807,-7.28360804218072,FALSE,"br_3249"
164,135,-4.6572,-4.7105,-4.6572,-4.7105,528,395,0,-8.5,-8.4853,-0.014719,2,0,301,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.7895,140.865221746805,-5.86522174680485,FALSE,"br_3249"
165,90,-0.0869,-2.4798,-0.0869,-2.4798,528,395,0,-8.5,0,3.5,2,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.0202,90.8269920387797,-0.826992038779665,FALSE,"br_3249"
166,45,4.2741,-4.3638,4.2741,-4.3638,528,395,0,-8.5,8.4853,-0.014719,2,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.1362,44.0606304118534,0.939369588146597,FALSE,"br_3249"
167,90,-0.2134,-2.2032,-0.2134,-2.2032,528,395,0,-8.5,0,3.5,2,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.2968,91.9410242511531,-1.94102425115308,FALSE,"br_3249"
168,135,-4.5298,-4.1465,-4.5298,-4.1465,528,395,0,-8.5,-8.4853,-0.014719,2,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,4.3535,136.13695586545,-1.13695586544958,FALSE,"br_3249"
169,90,-0.8058,-1.6602,-0.8058,-1.6602,528,395,0,-8.5,0,3.5,2,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.8398,96.7190711484401,-6.71907114844008,FALSE,"br_3249"
170,135,-4.3869,-4.6312,-4.3869,-4.6312,528,395,0,-8.5,-8.4853,-0.014719,2,0,281,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.8688,138.59098136343,-3.59098136343016,FALSE,"br_3249"
171,45,3.7512,-5.1562,3.7512,-5.1562,528,395,0,-8.5,8.4853,-0.014719,2,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.3438,41.713643842655,3.28635615734496,FALSE,"br_3249"
181,135,-2.8683,-4.5362,-2.8683,-4.5362,528,395,0,-8.5,-8.4853,-0.014719,3,0,661,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.9638,125.890393855184,9.10960614481624,FALSE,"br_3249"
182,45,4.7931,-4.1259,4.7931,-4.1259,528,395,0,-8.5,8.4853,-0.014719,3,0,421,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.3741,42.3830357045591,2.61696429544094,FALSE,"br_3249"
183,90,-0.3546,-3.0952,-0.3546,-3.0952,528,395,0,-8.5,0,3.5,3,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.4048,93.7537017367668,-3.75370173676677,FALSE,"br_3249"
184,135,-3.8715,-4.9771,-3.8715,-4.9771,528,395,0,-8.5,-8.4853,-0.014719,3,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.5229,137.699141418365,-2.6991414183646,FALSE,"br_3249"
185,45,4.4739,-4.3741,4.4739,-4.3741,528,395,0,-8.5,8.4853,-0.014719,3,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.1259,42.6827299930585,2.31727000694146,FALSE,"br_3249"
186,90,-0.1462,-2.9697,-0.1462,-2.9697,528,395,0,-8.5,0,3.5,3,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.5303,91.5143287676095,-1.51432876760953,FALSE,"br_3249"
187,135,-3.7179,-4.9996,-3.7179,-4.9996,528,395,0,-8.5,-8.4853,-0.014719,3,0,221,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.5004,136.72589981561,-1.72589981560975,FALSE,"br_3249"
188,45,4.6891,-3.8156,4.6891,-3.8156,528,395,0,-8.5,8.4853,-0.014719,3,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.6844,44.9712711216575,0.0287288783425197,FALSE,"br_3249"
189,90,-0.5205,-2.9414,-0.5205,-2.9414,528,395,0,-8.5,0,3.5,3,0,321,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.5586,95.3495027217818,-5.34950272178177,FALSE,"br_3249"
208,90,-0.7271,-2.2353,-0.7271,-2.2353,528,395,0,-8.5,0,3.5,3,0,801,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.2647,96.6203006980974,-6.6203006980974,FALSE,"br_3249"
209,45,4.4821,-4.3019,4.4821,-4.3019,528,395,0,-8.5,8.4853,-0.014719,3,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.1981,43.126057136694,1.87394286330603,FALSE,"br_3249"
210,135,-4.2777,-4.5952,-4.2777,-4.5952,528,395,0,-8.5,-8.4853,-0.014719,3,0,361,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.9048,137.609327623562,-2.60932762356163,FALSE,"br_3249"
211,45,4.574,-4.6533,4.574,-4.6533,528,395,0,-8.5,8.4853,-0.014719,3,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.8467,40.0635860125888,4.93641398741116,FALSE,"br_3249"
212,90,-0.0555,-2.9405,-0.0555,-2.9405,528,395,0,-8.5,0,3.5,3,0,381,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.5595,90.5719597327176,-0.57195973271763,FALSE,"br_3249"
213,135,-3.9361,-5.1517,-3.9361,-5.1517,528,395,0,-8.5,-8.4853,-0.014719,3,0,221,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.3483,139.613371856303,-4.61337185630273,FALSE,"br_3249"
214,135,-3.8334,-4.6781,-3.8334,-4.6781,528,395,0,-8.5,-8.4853,-0.014719,3,0,261,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.8219,135.086071214552,-0.0860712145515379,FALSE,"br_3249"
215,45,4.1066,-4.5598,4.1066,-4.5598,528,395,0,-8.5,8.4853,-0.014719,3,0,441,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,3.9402,43.8153478309741,1.18465216902594,FALSE,"br_3249"
216,90,-0.3218,-2.1938,-0.3218,-2.1938,528,395,0,-8.5,0,3.5,3,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,6.3062,92.9212208575407,-2.92122085754069,FALSE,"br_3249"
235,90,-0.5072,-3.2817,-0.5072,-3.2817,528,395,0,-8.5,0,3.5,3,0,681,1,1,0,1,0,"br_3249","align_explicit_train_selected",12,90,5.2183,95.5515056601049,-5.55150566010485,FALSE,"br_3249"
236,45,4.4024,-3.7592,4.4024,-3.7592,528,395,0,-8.5,8.4853,-0.014719,3,0,341,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,44.9999358525315,4.7408,47.1196130395875,-2.11961303958748,FALSE,"br_3249"
237,135,-4.9341,-5.1902,-4.9341,-5.1902,528,395,0,-8.5,-8.4853,-0.014719,3,0,401,1,1,0,1,0,"br_3249","align_explicit_train_selected",8.485281,135.000064147469,3.3098,146.146245211619,-11.1462452116187,FALSE,"br_3249"
